Arbitrage,DateTime,Estimated Arb,Actual Arb,BTC -> ALT Initial Rate,BTC -> ALT Adjustment Rate,BTC -> ALT Estimate Rate,BTC -> ALT Actual Rate,BTC -> ALT Rate Diff,BTC -> ALT % Rate Diff,Time From Quote,BTC -> ALT Vol,ALT -> ETH Initiial,ALT -> ETH Adjustment,ALT -> ETH Estimate,ALT -> ETH Actual,ALT -> ETH Diff,ALT -> ETH % Diff,Time From Quote,ALT -> ETH Vol,ETH -> BTC Initiial,ETH -> BTC Adjustment,ETH -> BTC Estimate,ETH -> BTC Actual,ETH -> BTC Diff,ETH -> BTC % Diff,Time From Quote,ETH -> BTC Vol
BTC-LUN > ETH-LUN > BTC_ETH,08:06.6,,,0.00271996,1.00E-06,0.00272096,0.00271995,1.00E-08,0.000367652,0.904121161,87838.27492,0.0390906,-2.00E-08,0.03909058,0.03802497,0.00106563,2.726051787,2.153028488,7306.75657,0.07054978,-2.00E-08,0.07054976,0.07054978,0,0,3.156550407,41297.42425
BTC-NEO > ETH-NEO > BTC_ETH,47:28.1,,,0.00528849,1.00E-06,0.00528949,0.00528849,0,0,2.017139435,866964.6624,0.0759695,-2.00E-08,0.07596948,0.07536924,0.00060026,0.790132882,3.75639987,79288.89193,0.07037609,-2.00E-08,0.07037607,0.07037609,0,0,4.677563906,42917.54774
BTC-NMR > ETH-NMR > BTC_ETH,56:29.4,,,0.00479998,1.00E-06,0.00480098,0.00481619,-1.62E-05,-0.33770974,3.546600342,22802.76823,0.0688888,-2.00E-08,0.06888878,0.0688888,0,0,4.622824192,1062.841655,0.07034978,-2.00E-08,0.07034976,0.07029,5.98E-05,0.08497539,5.699435472,43295.01034
BTC-LTC > ETH-LTC > BTC_ETH,05:38.8,,,0.01615001,1.00E-05,0.01616001,0.01615001,0,0,1.530835867,89056.14027,0.231,-5.00E-06,0.230995,0.23038564,0.00061436,0.26595671,2.556711674,5692.786246,0.07049873,-5.00E-06,0.07049373,0.0703001,0.00019863,0.281749756,3.888111115,43474.77216
BTC-NMR > ETH-NMR > BTC_ETH,26:16.0,,,0.00480338,1.00E-05,0.00481338,0.00480338,0,0,0.914851904,22392.68161,0.0688888,-1.00E-05,0.0688788,0.06643958,0.00244922,3.555323942,2.514250278,1014.39554,0.07047944,-1.00E-05,0.07046944,0.07047944,0,0,3.444213152,43370.21261
BTC-WAVES > ETH-WAVES > BTC_ETH,33:18.1,,,0.00100519,1.00E-05,0.00101519,0.00100519,0,0,1.092712641,314787.1044,0.0145538,-1.00E-05,0.0145438,0.01430611,0.00024769,1.701892289,2.830805302,15887.20034,0.07047836,-1.00E-05,0.07046836,0.07031,0.00016836,0.238881836,4.061750412,43443.85432
BTC-NEO > ETH-NEO > BTC_ETH,49:40.0,,,0.0052901,1.00E-05,0.0053001,0.00530002,-9.92E-06,-0.187520085,0.881759644,862885.0179,0.07596938,-2.00E-05,0.07594938,0.0757,0.00026938,0.354590231,2.218186617,76292.50651,0.07035011,-2.00E-05,0.07033011,0.07035011,0,0,3.18362999,43741.83283
BTC-OMG > ETH-OMG > BTC_ETH,34:52.0,,,0.002695,1.00E-05,0.002705,0.002695,0,0,1.197393656,1039678.752,0.0385763,-2.00E-05,0.0385563,0.03827525,0.00030105,0.780401438,2.12081027,156623.7688,0.07072,-2.00E-05,0.0707,0.07072,0,0,3.139478445,42030.20646
BTC-DGD > ETH-DGD > BTC_ETH,43:09.0,,,0.01950001,1.00E-05,0.01951001,0.01963247,-0.00013246,-0.679281703,1.270201206,3473.620978,0.28092284,-2.00E-05,0.28090284,0.27000003,0.01092281,3.888188657,2.733948231,955.2324827,0.07069827,-2.00E-05,0.07067827,0.07069827,0,0,4.545403242,42118.218
BTC-NMR > ETH-NMR > BTC_ETH,13:51.0,,,0.00440188,2.00E-05,0.00442188,0.00446795,-6.61E-05,-1.500949594,1.109789848,15579.62657,0.0625,-9.00E-06,0.062491,0.0611,0.0014,2.24,1.903353453,1890.318032,0.0715,-8.00E-06,0.071492,0.07146424,3.58E-05,0.050013986,2.660891056,51906.48491
